Name,Version,Summary,License,Homepage
openjpeg,2.3.0,OpenJPEG,BSD,https://github.com/uclouvain/openjpeg
optipng,0.7.5,OptiPNG,zlib,http://optipng.sourceforge.net
p7zip,16.02,P7ZIP,LGPL,http://p7zip.sourceforge.net
pango,1.30.1,Pango,LGPL,http://www.pango.org
parallel,20141122,GNU Parallel,GPL,http://savannah.gnu.org/projects/parallel
patchutils,0.3.4,Patch utilities,GPL,http://cyberelk.net/tim/software/patchutils
pcre,8.42,PCRE,BSD,https://www.pcre.org
pdns,3.2,PowerDNS,GPL,http://www.powerdns.com
pdns-recursor,3.5.2,PowerDNS Recursor,GPL,http://www.powerdns.com
pigz,2.3,pigz (parallel gzip),zlib,http://zlib.net/pigz
pixman,0.34.0,Pixman,MIT,http://pixman.org
pkg-config,0.29.2,Pkg-Config,GPL,https://www.freedesktop.org/wiki/Software/pkg-config
popt,1.16,Popt,BSD,http://rpm5.org
portaudio,v19,PortAudio,MIT,http://www.portaudio.com
protobuf,3.5.1,Protocol Buffers,BSD,https://developers.google.com/protocol-buffers
pv,1.4.6,Pipe Viewer,Artistic License,http://www.ivarch.com/programs/pv.shtml
qemu,2.11.1,QEMU,GPLv2,https://wiki.qemu.org
quilt,0.65,Quilt,GPLv2,https://savannah.nongnu.org/projects/quilt
ragel,6.9,Ragel State Machine Compiler,GPL,http://www.colm.net/open-source/ragel
rcs,5.9.4,GNU RCS,GPLv3+,https://www.gnu.org/software/rcs
rdiff-backup,1.2.8,Rdiff-backup,GPL,http://rdiff-backup.nongnu.org
readline,8.0,GNU Readline,GPLv3,https://tiswww.case.edu/php/chet/readline/rltop.html
redis,4.0.11,Redis,BSD,https://redis.io
redis,5.0.5,Redis,BSD,https://redis.io
rsync,3.1.1,Rsync,GPL,http://samba.org/rsync
rsnapshot,1.4.3,rsnapshot,GPLv2,https://rsnapshot.org
rtorrent,0.9.2,rTorrent,GPL,http://libtorrent.rakshasa.no
rudix,2016.12.13,Rudix Package Manager,BSD,https://github.com/rudix-mac/rpm
rust,1.7.0,Rust Language,MIT+Apache License+BSD,http://www.rust-lang.org
rzip,2.1,Rzip,GPL,http://rzip.samba.org
scons,2.3.1,SCons,MIT,http://www.scons.org
screen,4.4.0,GNU Screen,GPLv3,http://www.gnu.org/software/screen
sdcc,3.4.0,SDCC,GPL,http://sdcc.sourceforge.net
sdl,1.2.15,SDL,LGPL,http://www.libsdl.org
sed,4.7,GNU Sed,GPLv3,https://www.gnu.org/software/sed
serf,1.2.0,Serf (Library),Apache License,http://code.google.com/p/serf
sexpr,1.2.1,sfsexp,LGPL,http://sexpr.sourceforge.net
simh,3.9,SIMH,MIT,http://simh.trailing-edge.com
slang,2.3.2,S-Lang,GPL,http://www.jedsoft.org/slang
slrn,1.0.2,slrn,GPL,http://slrn.sourceforge.net
sox,14.4.1,SoX,GPL+LGPL,http://sox.sourceforge.net
sqlite,3.12.2,SQLite,Public Domain,http://www.sqlite.org
squid,3.5.7,Squid Caching Proxy,GPL,http://www.squid-cache.org
ssldump,0.9b3,SSLdump,BSD,http://www.rtfm.com/ssldump
stlink,1.5.1,STLink,BSD,http://example.org
stm32flash,0.5,stm32flash,GPL,https://sourceforge.net/p/stm32flash/wiki/Home
strongswan,5.1.0,StrongSwan,GPL,http://www.strongswan.org
stunnel,5.23,Stunnel,GPL,http://www.stunnel.org
subversion,1.8.13,Apache Subversion,Apache License,http://subversion.apache.org
supervisor,3.0b2,Supervisor,BSD Like,http://supervisord.org/index.html
swig,2.0.12,SWIG,GPL,http://www.swig.org
talloc,2.1.7,Talloc,GPL,http://talloc.samba.org
tar,1.27,GNU Tar,GPL,http://www.gnu.org/software/tar
tcpflow,0.21,TCP Flow Recorder,GPL,http://www.circlemud.org/jelson/software/tcpflow
tcptrace,6.6.7,tcptrace,Public Domain,http://www.tcptrace.org/index.shtml
tcsh,6.20.00,Tcsh,BSD,http://www.tcsh.org/Home
texinfo,6.6,Texinfo,GPLv3+,http://savannah.gnu.org/projects/texinfo
thttpd,2.26,Tiny/turbo/throttling HTTP server,BSD,http://www.acme.com/software/thttpd
tig,2.5.1,Tig,GPLv2,https://jonas.github.io/tig
tload,3.2.8,Tload,GPL,https://github.com/ruda/tload
tmux,2.9,TMux,BSD,https://github.com/tmux/tmux/wiki
trac,1.0.1,Trac,BSD,http://trac.edgewall.org
tree,1.7.0,Tree,GPLv2,http://mama.indstate.edu/users/ice/tree
txt2tags,2.6,txt2tags,GPL,http://txt2tags.org
unison,2.40.102,Unison File Synchronizer,GPL,http://www.cis.upenn.edu/~bcpierce/unison
unrar,5.0.1,unRAR,Freeware,http://www.rarlab.com
valgrind,3.8.1,Valgrind,GPL,http://valgrind.org
varnish,3.0.3,Varnish Cache,BSD,https://www.varnish-cache.org
vifm,0.8,Vifm,GPL,http://vifm.info
vim,8.1,Vim,Charityware (GPL-compatible),https://www.vim.org
vstr,1.0.15,Vstr,LGPL,http://www.and.org/vstr
w3m,0.5.3,w3m,GPL,http://w3m.sourceforge.net
wbox,5,WBox,BSD,http://hping.org/wbox
wdiff,1.2.2,GNU Wdiff,GPL,http://www.gnu.org/software/wdiff
wget,1.18,GNU Wget,GPLv3,http://www.gnu.org/software/wget
wput,0.6.2,Wput,GPL,http://wput.sourceforge.net
wxwidgets,3.1.0,Wxwidgets,LGPL,https://www.wxwidgets.org
xemacs,21.5.33,XEmacs,GPL,http://www.xemacs.org
xmp,4.1.0,xmp,GPL,http://xmp.sourceforge.net
xz,5.2.4,XZ Utils,Many,http://tukaani.org/xz
yajl,2.1.0,YAJL,ISC,https://lloyd.github.io/yajl
yasm,1.3.0,The Yasm Modular Assembler,BSD,http://yasm.tortall.net
zile,2.4.11,GNU Zile,GPL,http://www.gnu.org/software/zile
zlib,1.2.11,Zlib,zlib License,http://www.zlib.net
zsh,5.8,Z shell,MIT-like,http://www.zsh.org
zsync,0.6.2,Zsync is a file transfer program,Artistic License,http://zsync.moria.org.uk
static-gettext,0.21,[Static lib] GNU gettext,GPLv3,https://www.gnu.org/software/gettext
static-libev,4.33,[Static lib] Libev,BSD|GPLv2+,http://software.schmorp.de/pkg/libev
static-libintl,0.21,[Static lib] GNU libintl,GPLv3,https://www.gnu.org/software/gettext
